Toimittaja;Osto
0100100 SOLUTIONS OY;360.0
3D TALO FINLAND OY;6000.0
3STEP IT OY;29047.41
9LIVES KOTIPALVELUT OY;3668.0
9SOLUTIONS OY / OP;2187.66
A & O STEEL OY;2276.0
A & T HAAPANIEMI OY;2074.0
A&A OSA OY;742.79
A-INSINÖÖRIT RAKENNUTTAMINEN O;19429.36
A-INSINÖÖRIT SUUNNITTELU OY;25283.5
A-KATSASTUS OY;3844.92
A-TRAILER OY;6183.0
A. WENNSTRÖM OY;832.47
AB TOMAS KJELLMAN;294.21
ABB OY;25995.0
AC OULU OY/Trust-Laskutuspalve;5300.0
ACCOUNTOR FINAGO OY;800.0
ACTION ROAD TOP OY;291.93
ADALAR OY;224.3
ADENE OY;85.0
ADWORKS OY TURKU;82.2
AEL-AMIEDU OY;44704.0
AGATHA KODIT/KOULKORV;250.0
AGCO POWER OY;1705.78
AGCO SUOMI OY;109389.68000000002
AGRIPIHA AVOIN YHTIÖ;1230.0
AHAA VISION OY;4670.0
AHERTAVA OY;250.0
AHLSELL OY;73669.0
AHMAT RY;500.0
AIKOLON OY;160.0
AILA AIRO KAUNEUSPALVELUT KY;1252.0
AIMO PARK FINLAND OY;1652.4099999999999
AINO HEALTH MANAGEMENT OY;649.0
AIR LIQUIDE FINLAND OY;480.0
AIRTEC DANMARK A/S;3099.84
AIRWELL OY;803.0
AJ TUOTTEET OY AB;1737.28
AJ-KANGAS OY LÖYTÖ-PALA;157.12
AJH LOGISTICS OY;350.0
AJO-MOTOR OY /TRUST;2712.0
AJOKAISTA OY;1104.0
AJOVARMA OY;2156.0
AK TAUKO OY;16.0
AK UNELMAHERKKU AVOIN YHTIÖ;256.75
AKKULA OY;522.23
ALAKETO OY;16844.0
ALENIUKSEN PUUTARHA AY;295.06
ALINA/OULUNSEUDUN HOIVA OY;1680.0
ALKO OY;3929.78
ALKO OY AB;402.48
ALLTIME KIINTEISTÖHUOLTO OY;1280.0
ALLTIME SUOMI OY;64.0
ALMA MEDIA FINLAND OY;11347.88
ALPPILA BOWLING OY;61.82
ALTIA OYJ;1053.0
AMKE OY;3135.0
AMMATILLISEN KOULUTUKSEN;50.0
AMMATTILIITTY JYTY RY;384.0
AMMATTIOPISTO LUOVI OY OULU;25558.0
AMMATTIOPISTO SPESIA OY;6270.0
AMMATTIOSAAMISEN KEHITTÄMIS-;22000.0
AMUTEK OY;1128.4099999999999
ANEO SOFTWARE OY;9722.880000000001
ANFRA OY;2214.0
ANNELI STILL KY_x;960.0
ANON ASE JA TUKKU AY;100.0
ANRAK OY;690.0
ANTELL POHJOINEN OY;326.32
ANUCO OY;162142.74
ARCO ARCHITECTURE COMPANY OY;27284.92
ARCTIC CAREER OY;400.0
ARE OY;371881.57
ARE OY/KOULKORV;210.0
ARETAI OY;2100.0
ARITERM SERVICE OY;1490.0
ARJEN APURIT OY;492.0
ARKKIKALUSTE OY;1520.0
ARKKITEHTITOIMISTO HARMAINEN-M;657.72
ARKKITEHTITSTO JUSSI TERVAOJA;88058.57
AROTFENNO OY;571.44
ART TRANSMISSIES;680.0
ARTMAGON OY;600.0
ARVAL OY;14857.800000000001
ARVO KOVA OY;326.8
ARVO-HELAT OY;400.44
AS OY KEMPELEEN PIRILÄ;15000.0
AS OY OULUN SINKKIKUJA;18067.5
ASENNUS ANNUNEN OY;904.0
